# lon lat depth_km normal_Pa shear_Pa coulomb_Pa
# strike 15.000000, dip 45.000000, rake 0.000000
11.778071 41.599099 1.000000 0.003223 -0.248159 -0.246869
11.787080 41.599099 1.000000 0.005149 -0.247193 -0.245134
11.796089 41.599099 1.000000 0.007097 -0.246168 -0.243329
11.805098 41.599099 1.000000 0.009067 -0.245082 -0.241455
11.814107 41.599099 1.000000 0.011060 -0.243933 -0.239509
11.823116 41.599099 1.000000 0.013075 -0.242722 -0.237492
11.832125 41.599099 1.000000 0.015111 -0.241447 -0.235403
11.841134 41.599099 1.000000 0.017169 -0.240107 -0.233240
11.850143 41.599099 1.000000 0.019247 -0.238702 -0.231003
11.859152 41.599099 1.000000 0.021346 -0.237230 -0.228691
11.868161 41.599099 1.000000 0.023466 -0.235691 -0.226304
11.877170 41.599099 1.000000 0.025605 -0.234083 -0.223841
11.886179 41.599099 1.000000 0.027764 -0.232406 -0.221301
11.895188 41.599099 1.000000 0.029941 -0.230660 -0.218683
11.904197 41.599099 1.000000 0.032137 -0.228842 -0.215988
11.913206 41.599099 1.000000 0.034351 -0.226954 -0.213213
11.922215 41.599099 1.000000 0.036582 -0.224993 -0.210360
11.931224 41.599099 1.000000 0.038831 -0.222958 -0.207426
11.940233 41.599099 1.000000 0.041095 -0.220851 -0.204413
11.949242 41.599099 1.000000 0.043375 -0.218669 -0.201319
11.958251 41.599099 1.000000 0.045671 -0.216412 -0.198143
11.967260 41.599099 1.000000 0.047980 -0.214079 -0.194887
11.976269 41.599099 1.000000 0.050304 -0.211670 -0.191549
11.985278 41.599099 1.000000 0.052640 -0.209185 -0.188128
11.994287 41.599099 1.000000 0.054989 -0.206622 -0.184626
12.003296 41.599099 1.000000 0.057350 -0.203981 -0.181041
12.012305 41.599099 1.000000 0.059721 -0.201263 -0.177374
12.021314 41.599099 1.000000 0.062103 -0.198466 -0.173625
12.030323 41.599099 1.000000 0.064493 -0.195590 -0.169793
12.039332 41.599099 1.000000 0.066893 -0.192635 -0.165878
12.048341 41.599099 1.000000 0.069299 -0.189601 -0.161881
12.057350 41.599099 1.000000 0.071713 -0.186487 -0.157802
12.066359 41.599099 1.000000 0.074132 -0.183293 -0.153641
12.075368 41.599099 1.000000 0.076556 -0.180020 -0.149398
12.084377 41.599099 1.000000 0.078984 -0.176667 -0.145074
12.093386 41.599099 1.000000 0.081415 -0.173235 -0.140669
12.102395 41.599099 1.000000 0.083847 -0.169722 -0.136183
12.111404 41.599099 1.000000 0.086281 -0.166131 -0.131618
12.120413 41.599099 1.000000 0.088714 -0.162460 -0.126974
12.129422 41.599099 1.000000 0.091146 -0.158710 -0.122251
12.138431 41.599099 1.000000 0.093576 -0.154881 -0.117450
12.147440 41.599099 1.000000 0.096003 -0.150974 -0.112573
12.156449 41.599099 1.000000 0.098425 -0.146990 -0.107620
12.165458 41.599099 1.000000 0.100841 -0.142928 -0.102592
12.174467 41.599099 1.000000 0.103250 -0.138790 -0.097490
12.183476 41.599099 1.000000 0.105652 -0.134576 -0.092316
12.192485 41.599099 1.000000 0.108044 -0.130288 -0.087070
12.201494 41.599099 1.000000 0.110426 -0.125925 -0.081754
12.210503 41.599099 1.000000 0.112796 -0.121489 -0.076370
12.219512 41.599099 1.000000 0.115154 -0.116981 -0.070919
12.228521 41.599099 1.000000 0.117497 -0.112402 -0.065403
12.237530 41.599099 1.000000 0.119825 -0.107753 -0.059823
12.246539 41.599099 1.000000 0.122137 -0.103036 -0.054181
