# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] rake[degrees] length[m] width[m] shear[KPa] normal[KPa] coulomb[KPa]
-124.567312 40.362839 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.327115 0.269969 0.435103 
-124.581739 40.488485 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 2.039150 0.388581 2.194583 
-124.596166 40.614131 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 5.069931 0.426189 5.240406 
-124.610593 40.739777 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 7.846086 0.329385 7.977840 
-124.625020 40.865423 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 6.960433 0.284474 7.074223 
-124.639447 40.991070 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 2.802353 0.347709 2.941436 
-124.653874 41.116716 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.188729 0.272420 -0.079761 
-124.668302 41.242362 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.895325 0.115907 -0.848962 
-124.682729 41.368008 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.673165 0.014267 -0.667459 
-124.697156 41.493654 -10800.000000 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.369340 -0.024558 -0.379164 
-124.429188 40.372055 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.305383 0.229285 0.397097 
-124.443615 40.497701 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 1.268568 0.333886 1.402122 
-124.458042 40.623347 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 2.644232 0.415635 2.810486 
-124.472469 40.748993 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 3.662331 0.438960 3.837915 
-124.486896 40.874640 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 3.278811 0.407766 3.441918 
-124.501323 41.000286 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 1.693178 0.333298 1.826498 
-124.515751 41.125932 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.272363 0.217518 0.359370 
-124.530178 41.251578 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.321484 0.101189 -0.281008 
-124.544605 41.377224 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.369585 0.023702 -0.360104 
-124.559033 41.502871 -13294.940290 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.251848 -0.013193 -0.257125 
-124.291065 40.381271 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.181291 0.189691 0.257167 
-124.305492 40.506917 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.688211 0.267614 0.795257 
-124.319918 40.632564 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 1.309450 0.332598 1.442489 
-124.334345 40.758210 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 1.708740 0.359531 1.852552 
-124.348773 40.883856 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 1.546638 0.335497 1.680837 
-124.363200 41.009502 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.910065 0.266657 1.016728 
-124.377627 41.135148 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.258843 0.175041 0.328859 
-124.392054 41.260795 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.100786 0.089765 -0.064880 
-124.406482 41.386441 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.193086 0.029748 -0.181187 
-124.420909 41.512087 -15789.880580 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.159839 -0.003451 -0.161219 
-124.152941 40.390488 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.059523 0.153669 0.120991 
-124.167368 40.516134 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.317781 0.207686 0.400856 
-124.181795 40.641780 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.603253 0.251155 0.703715 
-124.196222 40.767426 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.772840 0.268479 0.880231 
-124.210649 40.893072 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.708122 0.250768 0.808430 
-124.225076 41.018719 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.445344 0.202216 0.526231 
-124.239503 41.144365 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.151244 0.138459 0.206628 
-124.253931 41.270011 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.039825 0.077840 -0.008689 
-124.268358 41.395657 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.108721 0.032122 -0.095872 
-124.282786 41.521303 -18284.820869 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.102899 0.003714 -0.101413 
-124.014817 40.399704 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.029623 0.123121 0.019626 
-124.029244 40.525350 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.099397 0.159575 0.163227 
-124.043671 40.650996 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.233772 0.187333 0.308706 
-124.058098 40.776643 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.312242 0.197265 0.391148 
-124.072525 40.902289 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.290477 0.184502 0.364278 
-124.086952 41.027935 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.183245 0.151833 0.243978 
-124.101380 41.153581 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.054441 0.108664 0.097906 
-124.115807 41.279227 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.037538 0.066065 -0.011113 
-124.130234 41.404873 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.075214 0.031754 -0.062512 
-124.144662 41.530520 -20779.761159 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.073067 0.008336 -0.069733 
-123.876694 40.408920 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.085792 0.098360 -0.046448 
-123.891121 40.534567 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.022671 0.122853 0.026470 
-123.905548 40.660213 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.042097 0.140477 0.098288 
-123.919975 40.785859 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.081851 0.145971 0.140240 
-123.934402 40.911505 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.078840 0.136791 0.133556 
-123.948829 41.037151 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 0.038824 0.114751 0.084725 
-123.963256 41.162797 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.012918 0.085390 0.021238 
-123.977683 41.288444 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.051121 0.055370 -0.028973 
-123.992111 41.414090 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.065407 0.029780 -0.053495 
-124.006538 41.539736 -23274.701449 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.059821 0.010928 -0.055449 
-123.738570 40.418137 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.116880 0.078777 -0.085369 
-123.752997 40.543783 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.087097 0.095343 -0.048960 
-123.767424 40.669429 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.055242 0.106645 -0.012584 
-123.781851 40.795075 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.033112 0.109628 0.010739 
-123.796278 40.920721 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.028300 0.102966 0.012886 
-123.810705 41.046368 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.038804 0.087838 -0.003669 
-123.825132 41.172014 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.054612 0.067549 -0.027592 
-123.839560 41.297660 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.065009 0.046172 -0.046540 
-123.853987 41.423306 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.064820 0.027066 -0.053994 
-123.868415 41.548952 -25769.641739 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.055206 0.012087 -0.050371 
-123.600446 40.427353 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.131037 0.063457 -0.105654 
-123.614873 40.552999 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.118009 0.074798 -0.088090 
-123.629300 40.678645 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.102093 0.082160 -0.069229 
-123.643727 40.804292 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.088572 0.083741 -0.055076 
-123.658154 40.929938 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.080911 0.078840 -0.049375 
-123.672582 41.055584 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.078656 0.068231 -0.051364 
-123.687009 41.181230 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.078035 0.053938 -0.056460 
-123.701436 41.306876 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.074770 0.038500 -0.059370 
-123.715864 41.432522 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.066691 0.024154 -0.057029 
-123.730291 41.558169 -28264.582029 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.054359 0.012318 -0.049432 
-123.462323 40.436569 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.134544 0.051502 -0.113943 
-123.476750 40.562216 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.129828 0.059379 -0.106076 
-123.491177 40.687862 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.121785 0.064257 -0.096082 
-123.505604 40.813508 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.112787 0.065055 -0.086765 
-123.520031 40.939154 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.104523 0.061395 -0.079965 
-123.534458 41.064800 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.097143 0.053792 -0.075627 
-123.548885 41.190446 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.089461 0.043518 -0.072054 
-123.563313 41.316093 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.080039 0.032198 -0.067160 
-123.577740 41.441739 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.068263 0.021336 -0.059729 
-123.592168 41.567385 -30759.522319 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.054676 0.011988 -0.049880 
-123.324199 40.445786 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.131730 0.042151 -0.114870 
-123.338626 40.571432 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.131021 0.047703 -0.111940 
-123.353053 40.697078 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.126923 0.050991 -0.106527 
-123.367480 40.822724 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.120485 0.051351 -0.099945 
-123.381907 40.948370 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.112592 0.048574 -0.093162 
-123.396334 41.074017 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.103595 0.043012 -0.086390 
-123.410762 41.199663 -33254.462608 355.000000 12.000000 0.000000 14000.000000 12000.000000 -0.093361 0.035485 -0.079167 
